item_description,zip_code,store_name,bottles_sold,sale_dollars
"Juarez Triple Sec",52556.0,"Hy-Vee Food Store / Fairfield",6,21.78
"Everclear Alcohol",52803.0,"Hilltop Grocery",3,18.9
"99 Peppermint Mini",51501,"Hy-Vee Drugstore / Council Bluffs",2,17.82
"Dekuyper Peachtree",52761,"Nash Finch / Wholesale Food",4,45.72
"Di Amore Quattro Orange",50320,"Hy-Vee #3 / BDI / Des Moines",120,1755.6
"Kamora Coffee Liqueur",50158,"Hy-Vee Food Store / Marshalltown",6,75.54
"Pinnacle Peach w/ Punch Dispenser",50703,"Hy-Vee Food Store #2 / Waterloo",180,1985.4
"Dekuyper Triple Sec",51247.0,"Pump N Pak",6,21
"Titos Vodka",50501,"Hy-Vee Food Store / Fort Dodge",108,1563.84
"Five O'clock Vodka",50461,"Osage Payless Foods",30,324
"Phillips Root Beer Schnapps",50588,"Hy-Vee Wine and Spirits / Storm Lake",4,33
"Bacardi Gold",52241,"Bootleggin' Barzini's Fin",1,6.75
"Juarez Triple Sec",51501.0,"I-80 Liquor / Council Bluffs",48,174.24
"Hennessy Vs Cognac",50314,"Central City 2",60,1709.4
"Hennessy VS",52601,"Burlington Shell",24,206.64
"Remy Martin VSOP",50314,"Shop N Save #1 / Mlk Pkwy",24,116.64
Jameson,50707,"Fareway Stores #067 / Evansdale",60,1349.4
"Paramount Sloe Gin",51401,"Fareway Stores #409 / Carroll",4,32.52
"Kahlua Coffee",50158,"Depot Liquor & Grocery",3,112.47
"Juarez Gold Dss",52314,"Wilkie Liquors",660,4870.8
"Glen Oaks Whiskey Buy the Barrel",50320.0,"Hy-Vee #3 / BDI / Des Moines",66,1881
"Hennessy VS",50158,"East Side Liquor and Groceries",24,206.64
"Kahlua Coffee",51501,"Speedy Gas N Shop",7,68.18
"Juarez Gold Dss",52314,"Wilkie Liquors",900,6750
"Everclear Alcohol",52411,"Hy-Vee #7 / Cedar Rapids",36,486
"Martell VSSD",52804,"Famous Liquors",2,17.98
"Juarez Triple Sec",51106,"Sam's Club 6432 / Sioux City",144,522.72
"Templeton Rye",52240,"Hy-Vee Wine and Spirits / Iowa City",18,488.52
"Ole Smoky Blackberry Moonshine Mini",50401.0,"Hy-Vee Food Store #1 / Mason City",48,630.24
"Paul Masson Peach Grande Amber Brandy",50314,"Shop N Save #1 / Mlk Pkwy",24,70.56
"Member's Mark Spiced Rum",50010,"Sam's Club 6568 / Ames",288,3913.92
"Five O'clock Vodka",52601,"Quik Stop  /  Burlington",48,81.6
"Kapali Coffee Liqueur",51106,"Sam's Club 6432 / Sioux City",84,720.72
"Tortilla Gold Dss",51360,"Hy-Vee Wine and Spirits / Spirit Lake",48,324.96
"Jagermeister w/2 Shot Glasses",50263,"Hy-Vee / Waukee",84,1518.72
"Avion Silver w/Powell & Mahoney Margarita Mix",50266,"Hy-Vee Wine and Spirits / WDM",90,3372.3
"Juarez Triple Sec",50314,"Central City 2",180,653.4
"Bacardi Gold Mini",50701.0,"New Star Liquor / W 4th S / Waterloo",4,33.24
"Bacardi Gold Rum Mini",52003,"Sid's Beverage Shop",5,41.55
"Platinum 7x Vodka",50131,"Hy-Vee Food Store / Johnston",48,64.32
"Kahlua Coffee",50265.0,"Fareway Stores #153  /  W Des Moines",72,1349.28
"Ole Smoky Salty Caramel Whiskey",50401.0,"Hy-Vee Food Store #1 / Mason City",18,270
"Arrow Spearmint Schnapps",51246,"Liquor Locker",5,37.5
"Ole Smoky Apple Pie Moonshine 70prf Mini",50662,"Fareway Stores #412 / Oelwein",8,105.04
"Kahlua Coffee",52172,"Double D Liquor Store",1,9.74
"Tortilla Gold Dss",50320,"Hy-Vee #3 / BDI / Des Moines",72,487.44
"Paramount Gold Rum",52732,"Hy-Vee Food and Drug / Clinton",24,282.24
"Bacardi Gold",50701,"New Star Liquor / W 4th S / Waterloo",7,47.25
"Bacardi Gold",50703,"Hy-Vee Food Store #2 / Waterloo",1,6.75
"Bacardi Gold Rum PET",50327,"Fareway Stores #138 / Pleasant Hill",102,2295
"Basil Hayden Dark Rye",51401.0,"Hy-Vee Food Store / Carroll",18,637.74
"Paul Masson Peach Grande Amber Brandy",50317,"Hy-Vee Wine and Spirits / Hubbell",24,70.56
"Cedar Ridge Single Malt Single Barrel Select",52338,"Cedar Ridge Vineyards",90,3712.5
"Juarez Triple Sec",52240,"Hy-Vee Wine and Spirits / Iowa City",60,217.8
"Paramount Triple Sec",50022,"Hy-Vee Wine and Spirits / Atlantic",4,23.04
"HA Elijah Craig Cask Barrel Proof",50702,"Hy-Vee Food Store #3 / Waterloo",18,807.84
"Kahlua Coffee Liqueur",51106,"Sam's Club 6432 / Sioux City",240,5397.6
"Hennessy VS",50703,"Ray's Supermarket, Inc.",24,206.64
"Bacardi Gold Rum",50801,"Fareway Stores #597 / Creston",5,71.25
"Paramount Gold Rum",51555,"Food Land Super Markets",2,13.26
"Bacardi Gold Mini",51401,"Hy-Vee Food Store / Carroll",12,99.72
"Seagrams Extra Smooth",50703,"Logan Convenience Store",24,63.36
"Kapali Coffee Liqueur",52627.0,"Quicker Liquor Store",36,237.24
"Bacardi Gold Mini",51501,"Tobacco Hut #14 / Council Bluffs",4,33.24
"Saints N Sinners Apple Pie",50111.0,"Fareway Stores #983 / Grimes",108,1296
"Hennessy VS",50316,"Tequila's Liquor Store",48,413.28
"Tortilla Gold Dss",50702,"Sam's Club 6514 / Waterloo",768,5199.36
"Dekuyper Triple Sec",50701,"Hy-Vee Wine and Spirits / Waterloo",2,7
"Paramount Gold Rum",52402,"CVS Pharmacy #8526 / Cedar Rapids",7,42
"Five O'clock Vodka",52136,"The Ox & Wren Spirits and Gifts",2,75.12
"Maestro Agavero Gold",52241.0,"Hy-Vee Food Store / Coralville",48,504
